β,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
12,32.99799942970276,5187,19,6.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 12
"
15,23.2696590423584,3668,38,9.0,,,
15,23.301673889160156,3668,15,4.0,,,
15,23.06149673461914,3627,0,0.0,,,
15,23.335649490356445,3668,5,2.0,,,
15,23.261564016342163,3669,7,2.0,,,
15,23.201149940490723,3653,4,1.0,,,
15,23.755446672439575,3669,30,5.0,,,
15,24.861682176589966,3669,26,6.0,,,
15,25.096608877182007,3667,18,4.0,,,
15,24.284167528152466,3667,16,3.0,,,
15,24.673424243927002,3668,27,5.0,,,
15,24.982004165649414,3667,26,5.0,,,
15,35.33847784996033,5195,19,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 15
"
20,24.880223035812378,3748,15,3.0,,,
20,24.15776252746582,3668,20,4.0,,,
20,24.263209104537964,3626,19,3.0,,,
20,24.38448452949524,3667,7,2.0,,,
20,24.54361867904663,3668,11,3.0,,,
20,24.790939569473267,3668,11,3.0,,,
20,23.81001853942871,3627,4,1.0,,,
20,24.78498387336731,3706,25,5.0,,,
20,24.078781843185425,3668,13,3.0,,,
20,25.050416707992554,3709,40,8.0,,,
20,24.34920883178711,3629,0,0.0,,,
20,25.39578652381897,3667,17,4.0,,,
20,34.88630938529968,5219,23,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 20
"
25,23.604509353637695,3667,11,1.0,,,
25,23.767826318740845,3668,0,0.0,,,
25,23.414101600646973,3627,0,0.0,,,
25,23.660093545913696,3667,5,1.0,,,
25,23.58915638923645,3669,14,3.0,,,
25,24.120783805847168,3707,25,3.0,,,
25,23.94086194038391,3667,20,4.0,,,
25,23.93634843826294,3694,27,7.0,,,
25,24.087357997894287,3695,47,8.0,,,
25,24.169850826263428,3706,24,5.0,,,
25,23.43153190612793,3613,13,4.0,,,
25,24.157296180725098,3708,26,7.0,,,
25,33.93332839012146,5199,27,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 25
"
30,23.79433012008667,3667,14,3.0,,,
30,23.885610342025757,3668,0,0.0,,,
30,23.52475094795227,3627,18,4.0,,,
30,23.858421564102173,3669,22,4.0,,,
30,23.76119589805603,3663,15,3.0,,,
30,23.858404397964478,3669,40,8.0,,,
30,23.65136456489563,3628,3,1.0,,,
30,23.737080335617065,3652,29,6.0,,,
30,24.728408336639404,3667,27,4.0,,,
30,25.64626383781433,3670,18,4.0,,,
30,25.485137224197388,3627,1,1.0,,,
30,25.847419261932373,3707,27,8.0,,,
30,35.6467547416687,5148,18,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 30
"
35,25.048883199691772,3668,18,3.0,,,
35,24.841501235961914,3667,20,3.0,,,
35,23.84787917137146,3626,0,0.0,,,
35,24.22577667236328,3667,14,4.0,,,
35,24.42658805847168,3666,1,1.0,,,
35,23.79424524307251,3667,23,4.0,,,
35,23.63656783103943,3627,1,1.0,,,
35,23.831496715545654,3668,30,7.0,,,
35,23.878053665161133,3667,5,2.0,,,
35,23.880364894866943,3667,34,6.0,,,
35,23.648985862731934,3629,10,2.0,,,
35,23.85561990737915,3668,10,2.0,,,
35,34.008750438690186,5226,20,8.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 35
"
40,23.950230598449707,3668,5,2.0,,,
40,23.857189655303955,3668,3,1.0,,,
40,23.56383204460144,3627,1,1.0,,,
40,24.10577154159546,3706,9,3.0,,,
40,24.658835411071777,3667,44,10.0,,,
40,24.533992052078247,3707,23,4.0,,,
40,23.70930528640747,3627,0,0.0,,,
40,23.930885553359985,3668,12,3.0,,,
40,23.85734248161316,3653,28,7.0,,,
40,23.81999683380127,3668,15,3.0,,,
40,23.614970207214355,3614,28,6.0,,,
40,23.874387979507446,3667,8,3.0,,,
40,33.80255842208862,5190,27,6.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 40
"
45,23.989535808563232,3667,4,1.0,,,
45,25.11894917488098,3669,7,2.0,,,
45,25.015984296798706,3628,38,8.0,,,
45,23.842771768569946,3667,22,3.0,,,
45,23.80999493598938,3668,7,1.0,,,
45,23.777775049209595,3654,19,5.0,,,
45,23.6135470867157,3627,8,2.0,,,
45,23.848254919052124,3667,20,5.0,,,
45,24.6710684299469,3667,25,7.0,,,
45,25.46637725830078,3668,5,1.0,,,
45,23.51193594932556,3628,17,4.0,,,
45,24.3808434009552,3669,50,11.0,,,
45,34.338401556015015,5232,10,4.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 45
"
50,24.012723445892334,3666,28,5.0,,,
50,23.8319149017334,3668,3,1.0,,,
50,23.719808101654053,3628,9,3.0,,,
50,24.02174687385559,3667,21,4.0,,,
50,23.86964750289917,3669,6,2.0,,,
50,24.005311489105225,3668,21,5.0,,,
50,23.714454889297485,3627,28,5.0,,,
50,23.995769500732422,3668,19,4.0,,,
50,23.891936540603638,3668,36,8.0,,,
50,23.96555757522583,3667,9,2.0,,,
50,23.9169659614563,3668,26,4.0,,,
50,24.0114164352417,3667,12,3.0,,,
50,34.15271782875061,5223,22,6.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 50
"
,,,,,,,"End of iteration for move_speed index 0
"
0.1,23.327514171600342,3568,20,5.0,,,
0.1,23.026597499847412,3538,0,0.0,,,
0.1,22.71932601928711,3485,3,2.0,,,
0.1,23.286805868148804,3584,5,3.0,,,
0.1,23.27176785469055,3567,15,7.0,,,
0.1,23.25567317008972,3558,11,6.0,,,
0.1,23.190759897232056,3566,11,6.0,,,
0.1,23.113574028015137,3552,8,5.0,,,
0.1,23.560511589050293,3609,5,3.0,,,
0.1,23.250884771347046,3568,1,1.0,,,
0.1,22.954157829284668,3537,18,7.0,,,
0.1,22.96229839324951,3527,10,7.0,,,
0.1,33.15035367012024,5074,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 0.1
"
0.3,23.460899114608765,3587,3,2.0,,,
0.3,23.656369924545288,3543,4,2.0,,,
0.3,25.575459718704224,3561,4,3.0,,,
0.3,22.889593601226807,3508,8,4.0,,,
0.3,23.511366367340088,3611,7,5.0,,,
0.3,23.557817459106445,3606,9,3.0,,,
0.3,23.126715660095215,3559,9,5.0,,,
0.3,23.102692365646362,3545,24,9.0,,,
