β,whole_time,opt_step_count,collison_count,oneLoop,oneOpt,Avg.Speed,Max.Speed,Mean_weight,crash_rate,Note
200,184.2086582183838,3355,17,54.9057103482515,31.34309204431298,0.018773122,0.051197097,[[0.36 0.64]],7.0,
200,177.42881536483765,3238,22,54.79580462162991,31.369272833477208,0.019305136,0.049244795,[[0.39 0.61]],11.0,
200,149.22726702690125,2729,14,54.682032622536184,31.351537921132515,0.020771047,0.05748429,[[0.43 0.57]],5.0,
,,,,,,,,,,"End of iteration for  β value 200
"
300,174.8817262649536,3188,11,54.85625039678595,31.358991094036412,0.019652296,0.051588938,[[0.38 0.62]],5.0,
300,190.19354963302612,3475,7,54.73195672892838,31.360608039142416,0.01880793,0.052993264,[[0.35 0.65]],6.0,
300,195.8939962387085,3580,14,54.71899336276773,31.346996469870625,0.018417034,0.048458673,[[0.36 0.64]],8.0,
300,153.04595685005188,2792,21,54.81588712394409,31.352183794906967,0.0208655,0.05508318,[[0.42 0.58]],9.0,
300,199.55433106422424,3640,29,54.822618424237426,31.353263606081956,0.018265152,0.05559152,[[0.36 0.64]],7.0,
,,,,,,,,,,"End of iteration for  β value 300
"
400,153.26033520698547,2798,14,54.77495897318995,31.37349724513961,0.020645149,0.047744814,[[0.42 0.58]],5.0,
400,173.27090716362,3168,14,54.69409948346591,31.33638293454141,0.01954166,0.056121722,[[0.38 0.62]],6.0,
400,166.37037253379822,3039,7,54.74510448627779,31.300120386648977,0.019990897,0.05129448,[[0.42 0.58]],6.0,
400,145.2703332901001,2651,11,54.798315084911394,31.392156380790446,0.021188518,0.05084464,[[0.45 0.55]],4.0,
400,157.84998774528503,2884,21,54.733005459530176,31.35740203103477,0.020275977,0.055397004,[[0.42 0.58]],8.0,
,,,,,,,,,,"End of iteration for  β value 400
"
1000,146.68566465377808,2682,20,54.692641556218526,31.346339596286807,0.021022331,0.047894977,[[0.44 0.56]],5.0,
1000,190.3701410293579,3473,10,54.81432220828042,31.362247851476386,0.01896921,0.05335291,[[0.37 0.63]],8.0,
1000,174.67204976081848,3174,24,55.03215178349669,31.388493401491946,0.01950087,0.047932655,[[0.38 0.62]],7.0,
1000,146.68391466140747,2684,8,54.65123497071813,31.33931707163326,0.020924656,0.0542401,[[0.45 0.55]],4.0,
1000,162.02392959594727,2972,18,54.51679999863636,31.330113375652203,0.019948335,0.05152457,[[0.4 0.6]],6.0,
,,,,,,,,,,"End of iteration for  β value 1000
"
1000,175.07840514183044,3167,25,55.2820982449733,31.845840024089902,0.018336382,0.048907336,[[0.44 0.56]],7.0,
1000,174.4328956604004,3120,26,55.90797937833346,32.08736838438572,0.018353824,0.0427021,[[0.43 0.57]],8.0,
1000,178.9877803325653,3179,32,56.30317091304351,32.256543617572525,0.018740306,0.050118454,[[0.42 0.58]],6.0,
1000,182.7735035419464,3197,10,57.170317029073004,32.791159695150114,0.018315174,0.049202003,[[0.43 0.57]],5.0,
1000,55.117579221725464,966,3,57.05753542621684,32.92485966692307,0.019529104,0.044887684,[[0.46 0.54]],2.0,
,,,,,,,,,,"End of iteration for  β value 1000
"
1000,179.0999619960785,3293,22,54.38808442030929,31.314691873151336,0.018165445,0.044445295,[[0.43 0.57]],9.0,
1000,179.39398336410522,3284,27,54.62666972110391,31.360188151974043,0.018425098,0.04816823,[[0.4 0.6]],8.0,
1000,211.88875269889832,3858,22,54.92191619981812,31.498284893619264,0.016887488,0.047871985,[[0.36 0.64]],10.0,
1000,194.84632444381714,3535,29,55.1191865470487,31.603346585890186,0.017644724,0.049766548,[[0.38 0.62]],7.0,
1000,174.79089212417603,3173,17,55.08694992882951,31.609454892841082,0.018202584,0.04267431,[[0.41 0.59]],9.0,
,,,,,,,,,,"End of iteration for  β value 1000
"
0.1,179.52137184143066,3278,21,54.76551917066219,31.49343562460731,0.018072039,0.045294743,[[0.41 0.59]],9.0,
0.1,84.40499448776245,1528,8,55.238870738064435,31.534722962304556,0.019331291,0.04741974,[[0.43 0.57]],3.0,
10000,1169.3273561000824,3147,26,371.56890883383613,33.808384087110724,0.01793784,0.048684057,[[0.47 0.53]],6.0,
10000,3163.9853756427765,3164,16,999.9953778896258,38.18879439466069,0.01849856,0.042512603,[[0.43 0.57]],8.0,
10000,863.8753769397736,3389,28,254.90568809081543,33.308924176623314,0.017844027,0.045379616,[[0.44 0.56]],8.0,
10000,196.95681285858154,3950,24,49.86248426799533,32.00819232795811,0.017510375,0.047393754,[[0.36 0.64]],9.0,
10000,157.89161086082458,3155,23,50.044884583462625,32.03272736393706,0.018005118,0.043695685,[[0.45 0.55]],6.0,
,,,,,,,,,,"End of iteration for  β value 10000
"
5000,168.47149991989136,3363,26,50.09559914358947,32.132222756650386,0.01798144,0.045438927,[[0.43 0.57]],9.0,
5000,35.62371325492859,697,1,51.11006205872108,32.1936152415775,0.014864819,0.04019617,[[0.28 0.72]],1.0,
19.18498945236206,314,0,61.0986955606254,34.108899201557136,0.02153898,0.040508833,[[0.56 0.44]]
88.8003671169281,1438,0,61.752689730308646,31.566946164954853,0.02054331,0.0478259,[[0.48 0.52]]
166.363671541214,2203,3,75.51687347093497,31.668337269149692,0.017911496,0.044820722,[[0.41 0.59]]
116.79964566230774,1957,0,59.683007979551384,31.882512916639016,0.018185759,0.045058105,[[0.41 0.59]]
