whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
[-0.30, 0.30] 执行0.07


117.152,2181,8,20.0,47.988,191.58,0.315,0.758,50,250,53.714808057831384,31.343655649646056
112.433,2095,3,10.0,47.91,187.404,0.327,0.723,50,250,53.66721119118192,31.29071347184283
146.248,2721,16,25.0,53.421,210.756,0.281,0.771,50,250,53.74796677056326,31.352082669231134
124.509,2317.5,10.0,22.5,49.725,196.345,0.309,0.76,50.0,250.0,53.723,31.34
124.509,2317.5,10.0,22.5,49.725,196.345,0.318,0.76,50.0,250.0,53.723,31.34
102.363,1881,220,65.0,41.164,166.503,0.313,0.832,80,80,54.41956035891852,31.62905955682214
87.502,1622,57,45.0,40.497,160.705,0.357,0.796,80,80,53.94707067092162,31.406369074058297
94.642,1748,121,55.0,40.491,162.657,0.331,0.766,80,80,54.14313200682197,31.485580197733654
115.906,2120,371,65.0,41.19,168.889,0.278,0.798,80,80,54.672570723407674,31.72991500710541
100.103,1842.75,192.25,57.5,40.836,164.688,0.32,0.798,80.0,80.0,54.296,31.563
100.103,1842.75,192.25,57.5,40.836,164.688,0.32,0.798,80.0,80.0,54.296,31.563
98.062,1810,155,55.0,41.785,167.228,0.33,0.758,80,100,54.177954315480605,31.585320583364577
112.714,2075,228,50.0,41.998,171.451,0.289,0.777,80,100,54.31988566754812,31.58354184713708
88.247,1636,58,20.0,41.278,159.908,0.361,0.883,80,100,53.94062800628923,31.382660702563147
83.623,1555,35,45.0,41.37,160.135,0.381,0.79,80,100,53.776984046126486,31.345152931581353
95.662,1769.0,119.0,42.5,41.608,164.681,0.34,0.802,80.0,100.0,54.054,31.474
95.662,1769.0,119.0,42.5,41.608,164.681,0.34,0.775,80.0,100.0,54.054,31.474
132.847,2458,156,20.0,45.647,191.665,0.266,0.786,80,150,54.04696365601654,31.479721635798306
113.587,2100,188,45.0,45.338,183.861,0.309,0.835,80,150,54.08912828990391,31.50622492744809
154.936,2857,307,50.0,48.186,199.377,0.241,0.811,80,150,54.23032390432922,31.565640996626552
155.813,2874,270,45.0,46.738,202.939,0.232,0.802,80,150,54.21474217207131,31.515674534653655
139.296,2572.25,230.25,40.0,46.477,194.461,0.262,0.808,80.0,150.0,54.145,31.517
139.296,2572.25,230.25,46.667,46.477,194.461,0.262,0.808,80.0,150.0,54.145,31.517
142.304,2628,199,55.0,47.057,198.156,0.256,0.806,80,200,54.149204193184914,31.52058295100428
130.383,2420,73,30.0,46.892,193.582,0.277,0.803,80,200,53.87745504536905,31.402422968021106
159.918,2969,80,30.0,47.556,206.095,0.229,0.75,80,200,53.86265177805442,31.36849090200998
107.679,2000,25,20.0,43.964,179.164,0.314,0.81,80,200,53.8395881652832,31.372658371925358
135.071,2504.25,94.25,33.75,46.367,194.249,0.269,0.792,80.0,200.0,53.932,31.416
135.071,2504.25,59.333,26.667,47.168,194.249,0.269,0.806,80.0,200.0,53.86,31.416
115.861,2151,34,25.0,45.913,187.906,0.305,0.86,80,250,53.863850043353125,31.376047724072514
136.869,2537,108,60.0,50.589,202.111,0.285,0.796,80,250,53.94915872828717,31.397964148996948
131.596,2446,37,40.0,46.824,193.507,0.274,0.734,80,250,53.800364351623486,31.34149951420158
119.085,2206,58,35.0,47.333,189.664,0.307,0.802,80,250,53.982158411878515,31.405154186708756
125.853,2335.0,59.25,40.0,47.665,193.297,0.293,0.798,80.0,250.0,53.899,31.38
125.853,2335.0,59.25,40.0,46.69,193.297,0.293,0.798,80.0,250.0,53.899,31.38


================================================================
133.312,2407,0,0.0,49.66,195.098,0.295,0.805,10.0,120,55.38510355059913,31.527437607084117
135.355,2459,0,0.0,50.325,198.856,0.293,0.796,10.0,120,55.04482477939725,31.319647991060968
137.464,2451,3,5.0,50.946,196.261,0.297,0.713,10.0,120,56.08485592282192,31.872772868921782
135.377,2439.0,1.0,1.667,50.31,196.738,0.295,0.771,10.0,120.0,55.505,31.573
135.377,2439.0,1.0,1.667,50.31,196.738,0.295,0.771,10.0,120.0,55.505,31.573
136.638,2430,3,5.0,50.353,197.847,0.296,0.781,10.0,140,56.22959627536098,31.904393459053196
166.761,2915,5,10.0,57.01,218.218,0.28,0.832,10.0,140,57.207805214778844,32.58271160093016
170.249,3000,0,0.0,56.277,216.852,0.268,0.869,10.0,140,56.749521334966026,32.17096996307373
157.883,2781.667,2.667,5.0,54.547,210.972,0.281,0.827,10.0,140.0,56.729,32.219
157.883,2781.667,2.667,5.0,54.547,210.972,0.281,0.827,10.0,140.0,56.729,32.219
139.642,2354,0,0.0,49.334,192.942,0.3,0.855,10.0,160,59.32111363342078,33.28513106554367
157.793,2762,0,0.0,54.012,211.109,0.28,0.776,10.0,160,57.12993053488762,32.148198663627305
145.353,2522,1,5.0,52.426,204.121,0.297,0.795,10.0,160,57.63383974261363,32.507259348476815
147.596,2546.0,0.333,1.667,51.924,202.724,0.292,0.809,10.0,160.0,58.028,32.647
147.596,2546.0,0.333,1.667,51.924,202.724,0.292,0.809,10.0,160.0,58.028,32.647
162.288,2629,0,0.0,52.739,205.451,0.287,0.731,10.0,180,61.72993165905279,35.24970536723524
156.438,2524,0,0.0,51.426,201.957,0.291,0.794,10.0,180,61.9803199488463,35.75980068197719
167.527,2703,0,0.0,53.389,208.16,0.282,0.805,10.0,180,61.978090704700215,35.70073302745642
162.084,2618.667,0.0,0.0,52.518,205.189,0.287,0.777,10.0,180.0,61.896,35.57
162.084,2618.667,0.0,0.0,52.518,205.189,0.287,0.777,10.0,180.0,61.896,35.57
151.08,2441,2,10.0,50.915,197.661,0.298,0.844,10.0,220,61.89252254856458,35.67519260204898
159.946,2610,0,0.0,53.906,207.652,0.295,0.79,10.0,220,61.281902945361374,35.19604845522007
161.254,2607,0,0.0,53.351,207.935,0.293,0.773,10.0,220,61.85440720842403,35.65761610425474
157.427,2552.667,0.667,3.333,52.724,204.416,0.295,0.802,10.0,220.0,61.676,35.51
157.427,2552.667,0.667,3.333,52.724,204.416,0.295,0.802,10.0,220.0,61.676,35.51
139.705,2388,0,0.0,49.702,194.186,0.298,0.822,10.0,240,58.502910923917895,33.572885259312
154.017,2676,2,10.0,53.827,209.081,0.288,0.841,10.0,240,57.55477635849752,32.91707821134673
136.748,2361,0,0.0,49.643,197.85,0.301,0.854,10.0,240,57.91962535539859,32.989612831396855
143.49,2475.0,0.667,3.333,51.057,200.372,0.296,0.839,10.0,240.0,57.992,33.16
143.49,2475.0,0.667,3.333,51.057,200.372,0.296,0.839,10.0,240.0,57.992,33.16
133.412,2338,6,15.0,49.034,193.896,0.3,0.717,20.0,120,57.06259508842684,32.277812602889135
145.471,2652,5,10.0,52.102,206.257,0.281,0.781,20.0,120,54.853147511029135,31.068058574900906
139.454,2576,4,10.0,49.35,198.779,0.274,0.706,20.0,120,54.13591880235613,31.07336163520813
139.446,2522.0,5.0,11.667,50.162,199.644,0.285,0.735,20.0,120.0,55.351,31.473
139.446,2522.0,5.0,11.667,50.162,199.644,0.285,0.735,20.0,120.0,55.351,31.473
134.554,2489,2,5.0,51.203,197.888,0.294,0.778,20.0,140,54.059323942675654,31.058888111597277
116.19,2150,6,10.0,47.538,188.84,0.316,0.765,20.0,140,54.042090038920556,31.041187463804732
123.169,2277,1,5.0,49.124,193.648,0.308,0.808,20.0,140,54.0927840682253,31.034960891261246
124.638,2305.333,3.0,6.667,49.288,193.459,0.306,0.784,20.0,140.0,54.065,31.045
124.638,2305.333,3.0,6.667,49.288,193.459,0.306,0.784,20.0,140.0,54.065,31.045
117.409,2170,1,5.0,48.559,190.807,0.32,0.745,20.0,160,54.10551486476775,31.081731528181084
112.319,2080,1,5.0,47.696,187.942,0.328,0.827,20.0,160,53.99976372718811,31.0278417972418
135.532,2506,0,0.0,52.337,202.435,0.299,0.774,20.0,160,54.082962007210526,31.063910017751827
121.753,2252.0,0.667,3.333,49.531,193.728,0.316,0.782,20.0,160.0,54.063,31.058
121.753,2252.0,0.667,3.333,49.531,193.728,0.316,0.782,20.0,160.0,54.063,31.058
140.333,2589,2,5.0,52.888,205.735,0.292,0.768,20.0,180,54.20369298912098,31.086515763313347
129.577,2394,1,5.0,52.118,202.289,0.311,0.736,20.0,180,54.12592913771831,31.026386477694277
131.87,2433,2,10.0,51.643,200.634,0.303,0.747,20.0,180,54.200492177634786,31.088538293332853
133.927,2472.0,1.667,6.667,52.216,202.886,0.302,0.75,20.0,180.0,54.177,31.067
133.927,2472.0,1.667,6.667,52.216,202.886,0.302,0.75,20.0,180.0,54.177,31.067
122.328,2262,0,0.0,48.776,194.027,0.308,0.746,20.0,220,54.079419738101706,31.039782270301664
122.328,2258,1,5.0,50.387,195.708,0.319,0.752,20.0,220,54.175181025630934,31.060018087510414
132.271,2443,0,0.0,51.794,204.24,0.303,0.717,20.0,220,54.14268017010371,31.100653840828958
125.642,2321.0,0.333,1.667,50.319,197.992,0.31,0.738,20.0,220.0,54.132,31.067
125.642,2321.0,0.333,1.667,50.319,197.992,0.31,0.738,20.0,220.0,54.132,31.067
126.407,2335,0,0.0,51.779,198.738,0.317,0.758,20.0,240,54.135603669879266,31.04531034922957
138.916,2569,0,0.0,54.312,207.95,0.302,0.749,20.0,240,54.073944403624985,31.042526277784894
132.692,2451,0,0.0,52.946,203.799,0.309,0.795,20.0,240,54.13777193017319,31.0886075476246
132.672,2451.667,0.0,0.0,53.012,203.496,0.309,0.767,20.0,240.0,54.116,31.059
132.672,2451.667,0.0,0.0,53.012,203.496,0.309,0.767,20.0,240.0,54.116,31.059
119.404,2202,104,30.0,46.021,183.924,0.299,0.676,30.0,80,54.225180930814126,31.053164566137053
105.436,1946,36,35.0,44.788,178.065,0.329,0.829,30.0,80,54.18108239815879,31.02169791571528
116.609,2151,101,45.0,46.129,181.497,0.307,0.759,30.0,80,54.211459676369245,31.083202761087456
113.816,2099.667,80.333,36.667,45.646,181.162,0.312,0.755,30.0,80.0,54.206,31.053
113.816,2099.667,80.333,36.667,45.646,181.162,0.312,0.755,30.0,80.0,54.206,31.053
105.634,1950,37,45.0,44.944,178.808,0.33,0.744,30.0,100,54.17135128608116,31.073655715355507
101.388,1874,45,35.0,45.439,179.149,0.347,0.728,30.0,100,54.10261507858716,31.013407727570264
113.137,2089,54,45.0,46.655,186.046,0.319,0.785,30.0,100,54.15856741215408,31.044222054269223
106.72,1971.0,45.333,41.667,45.679,181.334,0.332,0.752,30.0,100.0,54.144,31.044
106.72,1971.0,45.333,41.667,45.679,181.334,0.332,0.752,30.0,100.0,54.144,31.044
125.858,2320,27,45.0,48.796,191.721,0.301,0.737,30.0,120,54.249115750707425,31.083056638980736
130.452,2411,47,60.0,48.801,193.742,0.289,0.769,30.0,120,54.106926927918565,31.02454274880446
125.593,2321,23,45.0,47.936,189.561,0.295,0.719,30.0,120,54.11167814525126,31.015050971061186
127.301,2350.667,32.333,50.0,48.511,191.675,0.295,0.742,30.0,120.0,54.156,31.041
127.301,2350.667,32.333,50.0,48.511,191.675,0.295,0.742,30.0,120.0,54.156,31.041
121.347,2243,14,20.0,48.396,190.801,0.309,0.78,30.0,140,54.100327336570274,31.061720008356893
129.414,2395,13,25.0,49.567,196.292,0.296,0.747,30.0,140,54.03506730941741,31.03137693225964
119.399,2208,27,40.0,48.306,189.695,0.313,0.724,30.0,140,54.07582147829775,31.024212098639946
123.387,2282.0,18.0,28.333,48.756,192.263,0.306,0.75,30.0,140.0,54.07,31.039
123.387,2282.0,18.0,28.333,48.756,192.263,0.306,0.75,30.0,140.0,54.07,31.039
128.16,2366,15,30.0,50.327,196.797,0.304,0.827,30.0,160,54.16747663148056,31.071961681820632
105.646,1954,6,20.0,46.724,182.712,0.342,0.805,30.0,160,54.066599330492124,31.061963756838498
122.152,2259,14,25.0,49.037,193.148,0.31,0.763,30.0,160,54.07363717246763,31.001355279700427
118.653,2193.0,11.667,25.0,48.696,190.886,0.319,0.798,30.0,160.0,54.103,31.045
118.653,2193.0,11.667,25.0,48.696,190.886,0.319,0.798,30.0,160.0,54.103,31.045
132.59,2451,3,10.0,50.772,201.885,0.296,0.785,30.0,180,54.09646471973732,31.01947219067328
147.638,2726,17,25.0,54.35,211.279,0.285,0.819,30.0,180,54.15914798605031,31.063928205304
139.633,2578,4,15.0,51.844,201.141,0.288,0.769,30.0,180,54.16318813528174,31.02574096898685
139.954,2585.0,8.0,16.667,52.322,204.768,0.29,0.791,30.0,180.0,54.14,31.036
139.954,2585.0,8.0,16.667,52.322,204.768,0.29,0.791,30.0,180.0,54.14,31.036
113.44,2099,3,5.0,48.524,190.465,0.331,0.775,30.0,200,54.04459209087748,31.00403619414571
126.028,2331,6,20.0,49.307,194.771,0.302,0.796,30.0,200,54.0660335904076,31.057194239691263
116.974,2164,6,15.0,48.866,189.795,0.323,0.708,30.0,200,54.054437084691585,31.06626928844205
118.814,2198.0,5.0,13.333,48.899,191.677,0.319,0.76,30.0,200.0,54.055,31.042
118.814,2198.0,5.0,13.333,48.899,191.677,0.319,0.76,30.0,200.0,54.055,31.042
110.097,2038,1,5.0,47.799,187.878,0.335,0.812,30.0,220,54.02202215466111,31.035866540828327
122.519,2266,3,5.0,50.725,197.763,0.32,0.832,30.0,220,54.06827023885782,31.03494696772846
118.128,2180,3,10.0,49.439,191.992,0.324,0.767,30.0,220,54.18723646653901,31.06766282965284
116.915,2161.333,2.333,6.667,49.321,192.544,0.326,0.804,30.0,220.0,54.093,31.046
116.915,2161.333,2.333,6.667,49.321,192.544,0.326,0.804,30.0,220.0,54.093,31.046
156.892,2899,2,5.0,55.987,220.12,0.276,0.816,30.0,240,54.11921554123299,31.01486911359184
138.799,2563,4,10.0,53.058,206.475,0.296,0.763,30.0,240,54.15487177800816,31.047812300736766
133.926,2475,3,10.0,52.085,204.359,0.301,0.869,30.0,240,54.11153013055975,31.06289564961135
143.206,2645.667,3.0,8.333,53.71,210.318,0.291,0.816,30.0,240.0,54.129,31.042
143.206,2645.667,3.0,8.333,53.71,210.318,0.291,0.816,30.0,240.0,54.129,31.042
131.106,2419,216,35.0,44.846,185.638,0.265,0.866,40.0,80,54.198272960547726,30.997992744619268
128.424,2371,81,25.0,43.873,183.753,0.265,0.761,40.0,80,54.16457243782214,31.013801499088824
104.391,1931,71,35.0,43.88,174.871,0.325,0.735,40.0,80,54.060860534581046,31.00185898040503
121.307,2240.333,122.667,31.667,44.2,181.421,0.285,0.787,40.0,80.0,54.141,31.005
121.307,2240.333,122.667,31.667,44.2,181.421,0.285,0.787,40.0,80.0,54.141,31.005
128.443,2369,154,60.0,47.597,192.25,0.287,0.772,40.0,100,54.21817166838479,31.030366973265057
151.305,2794,56,30.0,45.123,197.489,0.231,0.723,40.0,100,54.15362815133315,31.070751297362975
119.772,2211,73,30.0,45.207,183.691,0.292,0.738,40.0,100,54.17075862392803,31.074881715399275
133.173,2458.0,94.333,40.0,45.976,191.143,0.27,0.744,40.0,100.0,54.181,31.059
133.173,2458.0,94.333,40.0,45.976,191.143,0.27,0.744,40.0,100.0,54.181,31.059
134.334,2479,124,55.0,48.969,195.739,0.282,0.789,40.0,120,54.18871371387329,31.074521906099864
126.334,2331,100,50.0,47.369,189.859,0.291,0.737,40.0,120,54.19715521725295,31.06272440517169
142.936,2640,87,50.0,47.752,198.981,0.259,0.703,40.0,120,54.14244893825415,31.02604439764312
134.535,2483.333,103.667,51.667,48.03,194.86,0.277,0.743,40.0,120.0,54.176,31.054
134.535,2483.333,103.667,51.667,48.03,194.86,0.277,0.743,40.0,120.0,54.176,31.054
136.194,2517,55,30.0,48.305,195.723,0.274,0.758,40.0,140,54.109848346035776,31.016845574301296
115.285,2133,47,40.0,47.11,185.594,0.316,0.75,40.0,140,54.04830683132767,31.064667838088123
112.228,2072,47,35.0,46.512,184.726,0.321,0.774,40.0,140,54.16418859397122,31.056269485517817
121.236,2240.667,49.667,35.0,47.309,188.681,0.304,0.761,40.0,140.0,54.107,31.046
121.236,2240.667,49.667,35.0,47.309,188.681,0.304,0.761,40.0,140.0,54.107,31.046
119.483,2202,49,45.0,47.737,190.62,0.31,0.812,40.0,160,54.261349960417235,31.07881448574222
123.863,2284,39,20.0,48.307,191.035,0.302,0.801,40.0,160,54.230948567599214,31.09825210688202
126.234,2331,40,40.0,49.289,194.378,0.302,0.759,40.0,160,54.15447829159377,31.02827757430762
123.193,2272.333,42.667,35.0,48.444,192.011,0.305,0.791,40.0,160.0,54.216,31.068
123.193,2272.333,42.667,35.0,48.444,192.011,0.305,0.791,40.0,160.0,54.216,31.068
116.729,2157,26,25.0,47.257,185.499,0.313,0.731,40.0,180,54.116485734531935,31.0157045038088
113.256,2093,10,25.0,47.024,186.742,0.321,0.763,40.0,180,54.11182825951501,31.041906714952
122.784,2267,14,40.0,49.592,193.819,0.313,0.791,40.0,180,54.16159026150562,31.078847747149844
117.59,2172.333,16.667,30.0,47.958,188.687,0.316,0.762,40.0,180.0,54.13,31.045
117.59,2172.333,16.667,30.0,47.958,188.687,0.316,0.762,40.0,180.0,54.13,31.045
118.175,2181,10,25.0,48.278,189.74,0.317,0.721,40.0,200,54.18366163709414,31.059289295593572
132.514,2447,20,30.0,51.259,199.953,0.299,0.788,40.0,200,54.153839227468275,31.054984125060162
130.704,2416,11,30.0,50.031,197.027,0.296,0.807,40.0,200,54.09935698998685,31.05670598563769
127.131,2348.0,13.667,28.333,49.856,195.573,0.304,0.772,40.0,200.0,54.146,31.057
127.131,2348.0,13.667,28.333,49.856,195.573,0.304,0.772,40.0,200.0,54.146,31.057
110.066,2030,18,25.0,47.925,186.931,0.338,0.813,40.0,220,54.21985757761988,31.063873662149966
126.399,2337,8,20.0,51.461,199.487,0.315,0.797,40.0,220,54.086039093859846,31.059743402144008
112.281,2076,9,25.0,47.927,187.247,0.33,0.839,40.0,220,54.08525903330603,31.059141793002972
116.249,2147.667,11.667,23.333,49.104,191.222,0.328,0.816,40.0,220.0,54.13,31.061
116.249,2147.667,11.667,23.333,49.104,191.222,0.328,0.816,40.0,220.0,54.13,31.061
131.147,2424,10,35.0,50.98,199.543,0.301,0.826,40.0,240,54.10346831425582,31.05895767117491
110.379,2040,2,10.0,47.067,185.772,0.33,0.748,40.0,240,54.1073901980531,31.067509394066004
115.908,2140,13,25.0,48.84,191.821,0.326,0.85,40.0,240,54.16248346043524,31.055441080966844
119.145,2201.333,8.333,23.333,48.962,192.379,0.319,0.808,40.0,240.0,54.124,31.061
119.145,2201.333,8.333,23.333,48.962,192.379,0.319,0.808,40.0,240.0,54.124,31.061
99.026,1829,66,50.0,44.203,175.931,0.346,0.805,50.0,120,54.14215197909915,31.07041958057535
103.859,1916,126,40.0,43.588,175.209,0.325,0.813,50.0,120,54.20631356926203,31.02945211287082
136.337,2512,129,50.0,47.199,191.413,0.269,0.728,50.0,120,54.274312629821196,31.06543858339832
113.074,2085.667,107.0,46.667,44.997,180.851,0.313,0.782,50.0,120.0,54.208,31.055
113.074,2085.667,107.0,46.667,44.997,180.851,0.313,0.782,50.0,120.0,54.208,31.055
