whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
103.995,1921,0,0.0,46.559,183.937,0.347,0.722,20.0,220,54.136084988984756,31.096888854440333
103.817,1911,0,0.0,47.113,184.268,0.353,0.797,20.0,220,54.32580154894036,31.14769896682428
111.729,2060.0,0.333,1.667,48.123,188.916,0.336,0.758,20.0,220.0,54.237,31.117
111.729,2060.0,0.333,1.667,48.123,188.916,0.336,0.758,20.0,220.0,54.237,31.117
123.338,2279,2,10.0,50.499,196.805,0.317,0.785,20.0,240,54.11940418141303,31.10951580149712
114.444,2114,2,10.0,48.33,189.672,0.327,0.754,20.0,240,54.13642883751904,31.102401869637625
120.297,2219,6,10.0,49.883,197.15,0.321,0.754,20.0,240,54.21211441232579,31.13453137869231
119.36,2204.0,3.333,10.0,49.571,194.542,0.322,0.764,20.0,240.0,54.156,31.115
119.36,2204.0,3.333,10.0,49.571,194.542,0.322,0.764,20.0,240.0,54.156,31.115
108.944,1997,105,70.0,44.783,178.37,0.321,0.793,30.0,80,54.55389963607521,31.27999501522028
109.845,2018,75,55.0,45.23,176.981,0.321,0.754,30.0,80,54.43264802454485,31.196778900441377
127.391,2333,125,45.0,45.622,184.659,0.28,0.718,30.0,80,54.6040873235252,31.265185822553505
115.393,2116.0,101.667,56.667,45.212,180.003,0.307,0.755,30.0,80.0,54.53,31.247
115.393,2116.0,101.667,56.667,45.212,180.003,0.307,0.755,30.0,80.0,54.53,31.247
120.847,2219,53,40.0,47.216,185.85,0.304,0.737,30.0,100,54.46019565914062,31.18392120024383
123.374,2270,54,45.0,46.828,187.94,0.295,0.796,30.0,100,54.349731768805555,31.170949851888917
123.481,2265,69,30.0,47.754,188.006,0.301,0.773,30.0,100,54.51721450350932,31.193365429674028
122.567,2251.333,58.667,38.333,47.266,187.265,0.3,0.769,30.0,100.0,54.442,31.183
122.567,2251.333,58.667,38.333,47.266,187.265,0.3,0.769,30.0,100.0,54.442,31.183
122.226,2249,39,30.0,46.659,188.296,0.297,0.703,30.0,120,54.346700306201626,31.18526940877939
125.787,2314,68,50.0,48.797,191.198,0.302,0.804,30.0,120,54.35896208292467,31.209537976758686
111.55,2053,43,40.0,47.206,185.222,0.329,0.753,30.0,120,54.334961607348205,31.19870179813197
119.854,2205.333,50.0,40.0,47.554,188.239,0.309,0.753,30.0,120.0,54.347,31.198
119.854,2205.333,50.0,40.0,47.554,188.239,0.309,0.753,30.0,120.0,54.347,31.198
138.328,2542,91,55.0,51.385,201.622,0.289,0.752,30.0,140,54.4170178736785,31.22076380449801
119.481,2198,64,35.0,48.607,189.647,0.316,0.783,30.0,140,54.35904402207851,31.19485035497997
126.281,2323,61,45.0,49.384,195.679,0.304,0.811,30.0,140,54.361392545433226,31.181684199253958
128.03,2354.333,72.0,45.0,49.792,195.649,0.303,0.782,30.0,140.0,54.379,31.199
128.03,2354.333,72.0,45.0,49.792,195.649,0.303,0.782,30.0,140.0,54.379,31.199
133.408,2455,57,50.0,50.591,200.407,0.295,0.788,30.0,160,54.34131029909837,31.21603579239544
130.252,2401,19,40.0,49.034,196.938,0.292,0.747,30.0,160,54.2492572589002,31.14126067219154
119.487,2203,31,45.0,49.102,192.528,0.319,0.822,30.0,160,54.23845695031539,31.170566786542246
127.716,2353.0,35.667,45.0,49.576,196.624,0.302,0.786,30.0,160.0,54.276,31.176
127.716,2353.0,35.667,45.0,49.576,196.624,0.302,0.786,30.0,160.0,54.276,31.176
128.482,2368,22,45.0,51.048,200.337,0.308,0.843,30.0,180,54.25767560262938,31.126550927355485
115.581,2134,13,30.0,48.314,190.766,0.324,0.825,30.0,180,54.161525822847715,31.156383838850196
116.739,2153,7,20.0,47.405,192.786,0.315,0.773,30.0,180,54.22138038259631,31.12252036527429
120.267,2218.333,14.0,31.667,48.922,194.63,0.316,0.814,30.0,180.0,54.214,31.135
120.267,2218.333,14.0,31.667,48.922,194.63,0.316,0.814,30.0,180.0,54.214,31.135
123.287,2275,7,15.0,49.205,197.359,0.309,0.709,30.0,200,54.192077091762,31.15344864981515
135.303,2496,13,30.0,51.952,207.293,0.298,0.751,30.0,200,54.20805704899323,31.13930519574728
125.004,2307,9,25.0,50.673,195.372,0.314,0.773,30.0,200,54.184537146791115,31.13415668059284
127.865,2359.333,9.667,23.333,50.61,200.008,0.307,0.744,30.0,200.0,54.195,31.142
127.865,2359.333,9.667,23.333,50.61,200.008,0.307,0.744,30.0,200.0,54.195,31.142
119.761,2205,3,10.0,49.937,195.93,0.324,0.761,30.0,220,54.313498127217194,31.129333059263335
110.325,2037,3,10.0,47.52,189.57,0.334,0.801,30.0,220,54.160599036724705,31.105606358134402
143.155,2638,14,25.0,54.015,208.643,0.293,0.773,30.0,220,54.266380305720425,31.13023352677213
124.414,2293.333,6.667,15.0,50.491,198.048,0.317,0.778,30.0,220.0,54.247,31.122
124.414,2293.333,6.667,15.0,50.491,198.048,0.317,0.778,30.0,220.0,54.247,31.122
115.759,2136,12,25.0,49.873,194.891,0.334,0.793,30.0,240,54.19409375512198,31.1139670204134
123.731,2281,8,20.0,50.654,200.915,0.318,0.82,30.0,240,54.244194674627764,31.097281141168242
127.129,2344,16,25.0,52.265,205.756,0.319,0.717,30.0,240,54.23600447869545,31.111044586721945
122.206,2253.667,12.0,23.333,50.931,200.521,0.324,0.777,30.0,240.0,54.225,31.107
122.206,2253.667,12.0,23.333,50.931,200.521,0.324,0.777,30.0,240.0,54.225,31.107
131.779,2393,305,60.0,45.65,188.573,0.273,0.815,40.0,80,55.06861394187969,31.48057168864128
103.17,1889,106,55.0,43.944,176.528,0.333,0.761,40.0,80,54.616135096916004,31.290426148252553
134.821,2462,193,65.0,45.455,186.525,0.264,0.729,40.0,80,54.76086552214758,31.372117376443722
123.257,2248.0,201.333,60.0,45.016,183.875,0.29,0.768,40.0,80.0,54.815,31.381
123.257,2248.0,201.333,60.0,45.016,183.875,0.29,0.768,40.0,80.0,54.815,31.381
163.789,3000,182,65.0,49.373,209.85,0.235,0.704,40.0,100,54.596433798472084,31.248745997746784
111.729,2042,75,40.0,44.979,178.925,0.315,0.74,40.0,120,54.71564039777705,31.398527302307667
117.506,2157,90,55.0,45.578,185.025,0.302,0.784,40.0,120,54.476454018109585,31.24694598732472
133.259,2454,56,30.0,46.169,191.322,0.269,0.756,40.0,120,54.30294559948213,31.16242916679227
120.831,2217.667,73.667,41.667,45.575,185.091,0.295,0.76,40.0,120.0,54.498,31.269
120.831,2217.667,73.667,41.667,45.575,185.091,0.295,0.76,40.0,120.0,54.498,31.269
131.57,2424,49,35.0,46.419,192.97,0.274,0.737,40.0,140,54.27810284170774,31.16019055394843
139.447,2566,67,35.0,47.753,195.925,0.266,0.775,40.0,140,54.34408238040035,31.21075412768084
121.754,2239,75,50.0,48.049,189.973,0.307,0.767,40.0,140,54.378875934316305,31.193920308428716
130.924,2409.667,63.667,40.0,47.407,192.956,0.282,0.76,40.0,140.0,54.334,31.188
130.924,2409.667,63.667,40.0,47.407,192.956,0.282,0.76,40.0,140.0,54.334,31.188
119.407,2196,56,45.0,48.001,186.105,0.313,0.767,40.0,160,54.374613071399956,31.185245036210304
134.96,2481,49,40.0,47.702,195.351,0.275,0.936,40.0,160,54.39732412040738,31.191613586714844
106.227,1958,53,30.0,46.298,179.952,0.338,0.844,40.0,160,54.25284685713522,31.18800288931951
120.198,2211.667,52.667,38.333,47.334,187.136,0.309,0.849,40.0,160.0,54.342,31.188
120.198,2211.667,52.667,38.333,47.334,187.136,0.309,0.849,40.0,160.0,54.342,31.188
112.754,2076,43,50.0,47.593,185.22,0.328,0.789,40.0,180,54.313053744836125,31.16100842782757
128.572,2369,51,60.0,50.652,197.915,0.306,0.757,40.0,180,54.27251298903614,31.191462552612872
129.202,2381,55,65.0,49.76,196.356,0.299,0.791,40.0,180,54.263784523923476,31.17558696799697
123.509,2275.333,49.667,58.333,49.335,193.164,0.311,0.779,40.0,180.0,54.283,31.176
123.509,2275.333,49.667,58.333,49.335,193.164,0.311,0.779,40.0,180.0,54.283,31.176
122.092,2252,35,40.0,49.163,194.458,0.312,0.782,40.0,200,54.2148943480971,31.158132091508666
129.386,2385,34,50.0,50.567,199.405,0.303,0.779,40.0,200,54.25003079748254,31.155330729934402
113.121,2080,43,45.0,48.354,187.981,0.332,0.765,40.0,200,54.38508402842742,31.18141133051652
121.533,2239.0,37.333,45.0,49.361,193.948,0.316,0.775,40.0,200.0,54.283,31.165
121.533,2239.0,37.333,45.0,49.361,193.948,0.316,0.775,40.0,200.0,54.283,31.165
116.216,2140,30,40.0,48.639,191.362,0.325,0.795,40.0,220,54.306373974987274,31.17053263655333
109.983,2030,16,30.0,47.321,184.931,0.333,0.769,40.0,220,54.178961979344564,31.159020762138177
107.686,1985,15,25.0,47.062,187.13,0.339,0.87,40.0,220,54.2498271471307,31.11898736929713
